Numero de entrada en el vocabulario,palabra,Positiva,Negativa,Frecuencia_Total
172,lastrefund,0.0,1.0,1.0
173,purhcased,0.0,1.0,1.0
174,anime,1.0,0.0,1.0
175,tooth,1.0,0.0,1.0
176,considering,24.0,5.0,29.0
177,wellupdate,0.0,1.0,1.0
178,cd,7.0,2.0,9.0
179,electret,1.0,0.0,1.0
180,ownership,1.0,0.0,1.0
181,seriously,6.0,0.0,6.0
182,agreed,0.0,2.0,2.0
183,filesbut,1.0,0.0,1.0
184,mbstried,1.0,0.0,1.0
185,drive,83.0,15.0,98.0
186,acronyms,1.0,0.0,1.0
187,dryer,1.0,0.0,1.0
188,cardmy,1.0,0.0,1.0
189,gamebest,1.0,0.0,1.0
190,laymans,1.0,0.0,1.0
191,postso,1.0,0.0,1.0
192,friendlybut,1.0,0.0,1.0
193,minutes,36.0,10.0,46.0
194,expounding,1.0,0.0,1.0
195,mood,0.0,1.0,1.0
196,badboy,1.0,0.0,1.0
197,dry,2.0,0.0,2.0
198,aas,1.0,0.0,1.0
199,rightthis,1.0,0.0,1.0
200,cardsim,0.0,2.0,2.0
201,terms,7.0,1.0,8.0
202,takingsending,1.0,0.0,1.0
203,packagei,1.0,0.0,1.0
204,setup,10.0,1.0,11.0
205,spotty,1.0,0.0,1.0
206,libraries,3.0,0.0,3.0
207,pidgin,1.0,0.0,1.0
208,recommand,1.0,0.0,1.0
209,enough,180.0,13.0,193.0
210,reusable,1.0,0.0,1.0
211,nexus,8.0,0.0,8.0
212,pricegb,1.0,0.0,1.0
213,faaast,1.0,0.0,1.0
214,difficulties,1.0,0.0,1.0
215,moist,1.0,0.0,1.0
216,jumble,1.0,0.0,1.0
217,reasonit,1.0,0.0,1.0
218,hires,1.0,0.0,1.0
219,onsecond,1.0,0.0,1.0
220,advertising,3.0,2.0,5.0
221,resetting,1.0,2.0,3.0
222,substandard,0.0,1.0,1.0
223,abovei,0.0,1.0,1.0
224,jumping,2.0,0.0,2.0
225,abruptly,0.0,1.0,1.0
226,chip,71.0,7.0,78.0
227,expectedi,1.0,0.0,1.0
228,iogear,1.0,1.0,2.0
229,picasa,1.0,0.0,1.0
230,expressing,0.0,1.0,1.0
231,daughters,11.0,0.0,11.0
232,gfs,1.0,2.0,3.0
233,itis,1.0,0.0,1.0
234,microcenter,1.0,0.0,1.0
235,wood,1.0,0.0,1.0
236,asset,1.0,0.0,1.0
237,considerably,5.0,0.0,5.0
238,swould,1.0,0.0,1.0
239,commodities,2.0,0.0,2.0
240,qualityworks,1.0,0.0,1.0
241,quickest,1.0,0.0,1.0
242,hassle,17.0,5.0,22.0
243,notebook,2.0,1.0,3.0
244,bit,73.0,16.0,89.0
245,killed,1.0,0.0,1.0
246,questions,6.0,2.0,8.0
247,wall,2.0,0.0,2.0
248,sure,142.0,43.0,185.0
249,autoscanned,1.0,0.0,1.0
250,roll,3.0,0.0,3.0
251,puchased,1.0,0.0,1.0
252,offering,4.0,1.0,5.0
253,vendor,4.0,3.0,7.0
254,altered,1.0,0.0,1.0
255,meeting,1.0,0.0,1.0
256,ejects,0.0,2.0,2.0
257,altough,1.0,0.0,1.0
258,dell,30.0,1.0,31.0
